,endTime,artistName,trackName,msPlayed
175,2021-04-16 07:00,24kGoldn,Mood (feat. iann dior),140533.0
176,2021-04-16 07:04,Don Toliver,Can't Feel My Legs,9862.0
177,2021-04-16 07:04,Kanye West,Famous,196040.0
178,2021-04-16 07:06,Octavian,Famous,115101.0
179,2021-04-16 07:06,Future,Patek,2554.0
180,2021-04-16 07:08,YBN Nahmir,Pop Like This (feat. Yo Gotti),118746.0
181,2021-04-16 07:12,Frank Ocean,Ivy,228762.0
182,2021-04-16 07:14,iann dior,gone girl,133955.0
183,2021-04-16 07:16,iann dior,Flowers,110271.0
184,2021-04-16 07:17,Lil Mosey,Jumpin Out The Face,11517.0
185,2021-04-16 07:19,YBN Nahmir,Cake (feat. Wiz Khalifa),165214.0
186,2021-04-16 07:19,Afroman,Because I Got High,2438.0
188,2021-04-16 07:22,Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,123390.0
189,2021-04-16 07:23,sammy rash,summer&cigarettes,114427.0
190,2021-04-16 07:24,YoungBoy Never Broke Again,Self Control,10715.0
191,2021-04-16 07:25,sammy rash,summer&cigarettes,70589.0
193,2021-04-16 07:25,21 Savage,Mr. Right Now (feat. Drake),12770.0
194,2021-04-16 07:25,Sammy Adams,All Night Longer,1277.0
195,2021-04-16 07:26,Shordie Shordie,LOVE (feat. Trippie Redd),42585.0
196,2021-04-16 07:29,Post Malone,Congratulations,220293.0
197,2021-04-16 07:30,A Boogie Wit da Hoodie,Look Back at It,9873.0
198,2021-04-16 07:35,Gunna,RELENTLESS (feat. Lil Uzi Vert),1880.0
199,2021-04-16 07:35,Cherub,Doses & Mimosas,320760.0
200,2021-04-16 07:37,DJ Khaled,POPSTAR (feat. Drake),97152.0
201,2021-04-16 07:37,Playboi Carti,Right Now (feat. Pi'erre Bourne),18668.0
202,2021-04-16 07:37,Playboi Carti,Right Now (feat. Pi'erre Bourne),1532.0
203,2021-04-16 07:37,Good Charlotte,I Don't Wanna Be In Love (Dance Floor Anthem),4179.0
